Date,Actual,Forecasted
2015-11-18 00:00:00,347.85,331.8150445813937
2015-11-19 00:00:00,352.05,331.76343695057955
2015-11-20 00:00:00,344.45,331.47865269377047
2015-11-23 00:00:00,337.25,330.99407464573534
2015-11-24 00:00:00,335.9,330.230672146931
2015-11-26 00:00:00,342.8,329.76124118963884
2015-11-27 00:00:00,344.35,329.2167216916042
2015-11-30 00:00:00,342.55,327.86864133933784
2015-12-01 00:00:00,346.25,326.8312859666638
2015-12-02 00:00:00,349.4,326.3868201572953
2015-12-03 00:00:00,343.35,325.87865361744934
2015-12-04 00:00:00,335.95,325.1527540506318
2015-12-07 00:00:00,313.55,323.5744878575428
2015-12-08 00:00:00,314.75,322.59026076304167
2015-12-09 00:00:00,317.4,322.2561277926856
2015-12-10 00:00:00,321.25,321.92371348751465
2015-12-11 00:00:00,321.0,321.4384739644289
2015-12-14 00:00:00,320.1,320.90179444840703
2015-12-15 00:00:00,322.95,320.0947453612435
2015-12-16 00:00:00,319.25,319.9611022904026
2015-12-17 00:00:00,320.5,319.84775169696627
2015-12-18 00:00:00,317.1,319.5904836230699
2015-12-21 00:00:00,326.55,319.6752180249862
2015-12-22 00:00:00,320.25,319.28321899862533
2015-12-23 00:00:00,321.5,319.5215614742917
2015-12-24 00:00:00,323.7,319.73254595354325
2015-12-28 00:00:00,326.2,320.29295699493076
2015-12-29 00:00:00,324.85,319.9351822365397
2015-12-30 00:00:00,326.55,320.1530070958207
2015-12-31 00:00:00,327.8,320.2919012661922
2016-01-01 00:00:00,327.5,320.1876362671898
2016-01-04 00:00:00,325.1,320.1845399091154
2016-01-05 00:00:00,324.85,319.6078567576274
2016-01-06 00:00:00,315.1,319.6040526473676
2016-01-07 00:00:00,309.6,319.5282357712175
2016-01-08 00:00:00,313.65,319.2255896653981
2016-01-11 00:00:00,316.05,318.7954597406405
2016-01-12 00:00:00,315.15,318.15405873408474
2016-01-13 00:00:00,315.75,318.1262258454165
2016-01-14 00:00:00,317.25,318.070917271385
2016-01-15 00:00:00,313.9,317.8333076386318
2016-01-18 00:00:00,315.4,317.82576976835304
2016-01-19 00:00:00,314.05,317.38514460444435
2016-01-20 00:00:00,308.95,317.5736481511117
2016-01-21 00:00:00,306.4,317.7435083118309
2016-01-22 00:00:00,308.75,317.7306787064069
2016-01-25 00:00:00,309.4,318.29987528697956
2016-01-27 00:00:00,312.95,318.26199094943695
2016-01-28 00:00:00,318.55,318.4662215244655
2016-01-29 00:00:00,320.2,318.4313599461341
2016-02-01 00:00:00,324.75,318.57449416334356
2016-02-02 00:00:00,324.25,318.3707193553485
2016-02-03 00:00:00,321.95,318.69827835108873
2016-02-04 00:00:00,321.8,318.9067332370407
2016-02-05 00:00:00,323.95,318.833461678683
2016-02-08 00:00:00,315.25,318.69900110799375
2016-02-09 00:00:00,312.4,318.013670041027
2016-02-10 00:00:00,309.0,317.86894759912286
2016-02-11 00:00:00,298.55,317.6260933069094
2016-02-12 00:00:00,300.1,317.1348594857189
2016-02-15 00:00:00,303.7,316.03794073502155
2016-02-16 00:00:00,295.5,315.16084307517707
2016-02-17 00:00:00,299.85,314.8906531196661
2016-02-18 00:00:00,305.45,314.5968962216336
2016-02-19 00:00:00,304.55,314.13165660864365
2016-02-22 00:00:00,299.85,313.5355582456139
2016-02-23 00:00:00,293.8,312.9551642370177
2016-02-24 00:00:00,287.6,313.02801811105127
2016-02-25 00:00:00,286.2,313.11933944228707
2016-02-26 00:00:00,290.95,313.0713636800422
2016-02-29 00:00:00,295.65,313.8026174543364
2016-03-01 00:00:00,325.35,313.6521753234275
2016-03-02 00:00:00,319.55,314.13215490292976
2016-03-03 00:00:00,318.15,314.5973836984425
2016-03-04 00:00:00,315.2,314.8804733002659
2016-03-08 00:00:00,320.25,316.24849981313616
2016-03-09 00:00:00,319.9,316.77846805660863
2016-03-10 00:00:00,316.1,317.2347904573126
2016-03-11 00:00:00,321.3,317.4525294358125
2016-03-14 00:00:00,325.05,318.40869833394396
2016-03-15 00:00:00,316.5,318.14866110528504
2016-03-16 00:00:00,322.05,318.4541315114835
2016-03-17 00:00:00,323.65,318.68348162591616
